task_id,operator_type,category,period,error_flag
1,new,living,after,0
2,experienced,electronics,after,0
3,experienced,electronics,before,1
4,experienced,living,before,0
5,new,fashion,before,0
6,new,living,after,0
7,new,living,after,0
8,experienced,fashion,before,0
9,experienced,living,before,0
10,experienced,living,after,0
11,new,living,after,1
12,experienced,fashion,before,0
13,experienced,electronics,after,0
14,new,electronics,before,0
15,new,fashion,before,1
16,new,electronics,after,0
17,new,living,before,0
18,experienced,electronics,after,0
19,experienced,living,after,0
20,new,electronics,after,0
21,experienced,fashion,before,0
22,new,electronics,before,0
23,new,electronics,before,0
24,new,electronics,after,0
25,experienced,fashion,after,0
26,experienced,electronics,after,0
27,new,fashion,after,0
28,experienced,living,after,0
29,experienced,electronics,after,0
30,new,fashion,before,0
31,experienced,fashion,before,0
32,new,electronics,after,0
33,new,living,before,0
34,experienced,fashion,before,0
35,experienced,electronics,after,0
36,experienced,living,after,0
37,new,fashion,before,1
38,new,fashion,after,0
39,experienced,living,after,0
40,experienced,living,before,0
41,new,electronics,before,1
42,experienced,electronics,before,0
43,new,fashion,after,1
44,experienced,living,after,0
45,new,living,after,0
46,experienced,living,after,0
47,new,fashion,before,0
48,experienced,living,before,0
49,experienced,living,after,0
50,new,fashion,before,1
51,experienced,electronics,before,0
52,experienced,electronics,before,0
53,experienced,fashion,before,0
54,experienced,living,before,0
55,experienced,fashion,before,0
56,experienced,electronics,before,0
57,new,electronics,before,0
58,new,fashion,after,0
59,new,fashion,after,0
60,new,electronics,before,0
61,new,fashion,after,1
62,new,electronics,before,0
63,experienced,fashion,after,0
64,new,fashion,after,0
65,new,fashion,after,0
66,experienced,electronics,after,0
67,new,fashion,before,0
68,experienced,electronics,before,0
69,new,electronics,after,0
70,experienced,fashion,before,0
71,experienced,fashion,before,0
72,new,electronics,after,1
73,new,electronics,after,0
74,experienced,living,after,0
75,experienced,electronics,before,0
76,experienced,living,after,0
77,experienced,living,before,0
78,new,living,before,0
79,new,fashion,after,0
80,new,fashion,before,0
81,experienced,electronics,before,0
82,experienced,living,after,0
83,new,fashion,before,0
84,new,fashion,before,0
85,new,fashion,before,0
86,new,fashion,before,0
87,experienced,fashion,before,1
88,experienced,living,after,1
89,experienced,living,after,0
90,experienced,living,before,0
91,new,living,after,0
92,experienced,electronics,before,0
93,experienced,living,before,0
94,experienced,fashion,after,0
95,experienced,living,before,0
96,experienced,electronics,after,0
97,experienced,fashion,before,0
98,experienced,living,after,0
99,new,living,before,0
100,new,living,before,0
101,new,fashion,before,0
102,experienced,fashion,after,0
103,new,electronics,after,0
104,experienced,fashion,after,0
105,experienced,fashion,before,0
106,new,living,before,0
107,experienced,fashion,before,0
108,experienced,living,after,0
109,new,living,after,0
110,new,fashion,before,1
111,new,electronics,after,0
112,new,electronics,before,1
113,experienced,fashion,after,0
114,experienced,electronics,after,1
115,experienced,living,before,0
116,experienced,living,before,0
117,experienced,fashion,after,0
118,new,electronics,after,0
119,experienced,electronics,after,0
120,experienced,living,after,0
121,experienced,fashion,before,0
122,experienced,electronics,after,0
123,new,fashion,after,0
124,new,electronics,after,0
125,new,living,before,0
126,experienced,living,before,0
127,experienced,fashion,before,0
128,experienced,living,before,0
129,new,electronics,before,1
130,experienced,living,before,0
131,experienced,fashion,before,1
132,new,fashion,before,0
133,new,fashion,after,0
134,new,electronics,before,0
135,experienced,electronics,before,0
136,new,electronics,before,1
137,experienced,electronics,before,0
138,experienced,electronics,after,0
139,new,living,before,0
140,experienced,electronics,after,0
141,experienced,electronics,after,0
142,new,living,after,0
143,experienced,electronics,after,0
144,new,fashion,after,0
145,new,electronics,after,0
146,new,electronics,before,0
147,experienced,fashion,before,0
148,experienced,fashion,after,0
149,new,fashion,before,0
150,new,fashion,before,0
151,experienced,electronics,after,0
152,new,fashion,after,0
153,new,fashion,before,0
154,experienced,living,after,0
155,experienced,fashion,before,0
156,new,fashion,after,0
157,experienced,living,before,0
158,experienced,living,before,0
159,new,electronics,after,0
160,experienced,living,before,0
161,new,electronics,after,1
162,experienced,living,before,0
163,experienced,living,before,0
164,experienced,electronics,after,0
165,new,living,before,1
166,experienced,electronics,before,0
167,new,living,before,0
168,new,fashion,after,0
169,new,living,after,0
170,experienced,electronics,after,0
171,experienced,living,before,0
172,new,electronics,before,1
173,experienced,electronics,before,0
174,new,fashion,after,0
175,experienced,fashion,before,0
176,new,electronics,after,0
177,experienced,living,before,1
178,new,electronics,after,0
179,experienced,electronics,after,0
180,new,living,after,0
181,new,living,before,0
182,new,living,before,0
183,experienced,living,before,0
184,experienced,electronics,before,1
185,new,electronics,before,0
186,experienced,fashion,after,0
187,experienced,electronics,before,0
188,experienced,living,after,0
189,experienced,fashion,after,0
190,new,living,before,0
191,new,electronics,after,0
192,experienced,fashion,before,0
193,experienced,living,before,1
194,experienced,fashion,before,0
195,new,fashion,after,0
196,new,electronics,before,0
197,experienced,living,before,0
198,experienced,fashion,after,0
199,experienced,fashion,before,0
200,experienced,living,after,0
201,experienced,fashion,after,0
202,new,fashion,after,0
203,new,fashion,before,0
204,experienced,living,before,0
205,experienced,living,before,0
206,new,living,before,0
207,new,living,before,0
208,experienced,electronics,before,0
209,new,fashion,after,0
210,new,living,after,1
211,experienced,fashion,before,0
212,experienced,fashion,before,0
213,experienced,electronics,before,0
214,new,living,before,0
215,experienced,living,after,1
216,new,fashion,after,0
217,new,living,after,1
218,experienced,fashion,after,0
219,experienced,fashion,after,1
220,experienced,electronics,after,1
221,experienced,electronics,before,0
222,experienced,electronics,after,0
223,new,fashion,before,0
224,new,living,before,0
225,new,electronics,before,0
226,new,living,before,1
227,experienced,electronics,after,0
228,new,electronics,before,1
229,experienced,fashion,before,0
230,experienced,electronics,before,0
231,experienced,electronics,after,0
232,experienced,fashion,before,0
233,experienced,living,after,0
234,experienced,electronics,after,0
235,new,fashion,after,1
236,experienced,electronics,after,0
237,new,fashion,before,0
238,new,living,before,0
239,experienced,living,after,0
240,new,fashion,before,0
241,experienced,fashion,before,0
242,experienced,fashion,after,0
243,experienced,living,before,0
244,new,electronics,after,0
